application_number;application_date;registration_date;application_language_code;second_language_code;expiry_date;name
187;018005910;2019-01-03;2019-04-25;en;de;2029-01-03;Lazy Bear
188;018005911;2019-01-03;2019-04-24;en;de;2029-01-03;NEUTROGENA MASK ID
189;018005915;2019-01-03;2019-06-18;en;es;2029-01-03;OCYAN WAVES
190;018005919;2019-01-03;2019-05-22;it;en;2029-01-03;ITALNIC
191;018005920;2019-01-03;2019-04-29;de;en;2029-01-03;moresocks
192;018005924;2019-01-04;2019-04-25;de;en;2029-01-04;ATELIER KALAI
193;018005926;2019-01-04;2019-05-01;de;en;2029-01-04;Permetex
194;018005930;2019-01-04;2019-07-01;en;de;2029-01-04;TWANG
195;018005933;2019-01-04;2019-05-23;en;fr;2029-01-04;EUROGUARDIAN
196;018005935;2019-01-04;2019-07-23;en;it;2029-01-04;NUMERATOR
197;018005942;2019-01-04;2019-08-13;en;fr;2029-01-04;PHARMACYOS
198;018005943;2019-01-04;2019-06-06;en;fr;2029-01-04;LYANESS
199;018005944;2019-01-04;2019-06-06;it;en;2029-01-04;deboracarlucci
200;018005945;2019-01-04;2019-08-07;en;it;2029-01-04;NUMERATOR EDGE
201;018005949;2019-01-04;2019-04-20;pt;fr;2029-01-04;RISBAN
202;018005953;2019-01-04;2019-04-30;en;de;2029-01-04;5GAA
203;018005956;2019-01-04;2019-05-22;en;es;2029-01-04;YoRHa
204;018005959;2019-01-04;2019-06-14;nl;en;2029-01-04;Z-COMPANY
205;018005961;2019-01-04;2019-05-22;en;es;2029-01-04;EIGHT KM
206;018005965;2019-01-04;2019-05-22;en;es;2029-01-04;Spec4Y
207;018005967;2019-01-04;2019-04-20;de;en;2029-01-04;LASH GOALS
208;018005968;2019-01-04;2019-10-30;en;de;2029-01-04;Game for Fun
209;018005970;2019-01-04;2019-04-29;en;fr;2029-01-04;LUXURY CARD EXPERIENCES
210;018005971;2019-01-04;2019-08-22;en;de;2029-01-04;Inertsil
211;018005973;2019-01-04;2019-08-22;en;de;2029-01-04;InertSustain
212;018005976;2019-01-04;2019-06-18;en;it;2029-01-04;SIGLITE
213;018005979;2019-01-04;2019-06-18;en;it;2029-01-04;SIGNATUREGEM
214;018005980;2019-01-04;2019-09-09;en;it;2029-01-04;SIGPLUS
215;018005986;2019-01-04;2019-08-07;fr;en;2029-01-04;DupiBase
216;018005990;2019-01-04;2019-08-30;en;de;2029-01-04;DROP
217;018005991;2019-01-04;2019-06-12;es;en;2029-01-04;CONMEBOL RECOPA
218;018005996;2019-01-04;2019-04-29;it;en;2029-01-04;gyfros
219;018005998;2019-01-04;2019-05-14;de;en;2029-01-04;Bluewheel - Germanys` Innovation Company for Fitness-Technology
220;018005999;2019-01-04;2019-04-20;de;en;2029-01-04;Sportstech - Germany´s Innovation Company for Fitness-Technology
221;018006000;2019-01-04;2019-05-11;en;es;2029-01-04;SLIPSTREAM
222;018006001;2019-01-04;2019-10-09;en;es;2029-01-04;DIRECTED IMMUNE POWER
223;018006002;2019-01-04;2019-05-24;en;de;2029-01-04;INTELLIFLASH
224;018006005;2019-01-04;2019-05-24;en;de;2029-01-04;INTELLICARE
225;018006009;2019-01-04;2019-06-01;de;en;2029-01-04;Good Seed
226;018006010;2019-01-04;2019-06-26;fr;en;2029-01-04;TERAKALIS
227;018006013;2019-01-05;2019-04-29;en;fr;2029-01-05;CRICKET IS LIFE
228;018006014;2019-01-05;2019-04-29;en;es;2029-01-05;Oneiric P
229;018006015;2019-01-05;2019-04-25;en;es;2029-01-05;Lunamoon
230;018006016;2019-01-05;2019-04-29;en;es;2029-01-05;Arison Lashes
231;018006018;2019-01-05;2019-04-29;en;es;2029-01-05;Lehood
232;018006020;2019-01-05;2019-05-22;en;es;2029-01-05;OLEEP
233;018006022;2019-01-05;2019-10-05;sv;en;2029-01-05;live audit
234;018006035;2019-01-06;2019-07-08;it;en;2029-01-06;NewerPro
235;018006037;2019-01-06;2019-04-29;de;en;2029-01-06;Spielquartier
236;018006039;2019-01-06;2019-04-25;fr;en;2029-01-06;Homeys
237;018006041;2019-01-06;2019-04-26;sv;en;2029-01-06;COSTIFY
238;018006042;2019-01-07;2019-06-11;it;en;2029-01-07;Wooseya
239;018006043;2019-01-07;2019-04-29;en;de;2029-01-07;DJ PUZZLE
240;018006045;2019-01-07;2019-05-02;en;fr;2029-01-07;Aletata
241;018006052;2019-01-07;2019-04-23;fi;en;2029-01-07;SOLEIN
242;018006056;2019-01-07;2019-04-25;de;en;2029-01-07;Couple Camp
243;018006057;2019-01-07;2019-04-25;es;fr;2029-01-07;IKOCAT
244;018006060;2019-01-07;2019-04-29;nl;en;2029-01-07;marejoux
245;018006061;2019-01-07;2019-05-25;de;en;2029-01-07;ARES
246;018006063;2019-01-07;2019-07-06;en;de;2029-01-07;Boltune
247;018006066;2019-01-07;2019-05-15;en;it;2029-01-07;WASA HARMONI
248;018006068;2019-01-07;2019-05-01;it;en;2029-01-07;MOTUS SMART
249;018006069;2019-01-07;2019-07-11;en;de;2029-01-07;TEKCOPLUS
250;018006070;2019-01-07;2019-04-29;sv;en;2029-01-07;Arctic Legacy
251;018006071;2019-01-07;2019-04-25;fr;en;2029-01-07;Black Skull
252;018006074;2019-01-07;2019-06-20;en;de;2029-01-07;BRIGHTWARE
253;018006075;2019-01-07;2019-06-22;en;es;2029-01-07;VENTCORE
254;018006078;2019-01-07;2019-05-24;de;en;2029-01-07;sanoctua
255;018006080;2019-01-07;2019-04-26;da;en;2029-01-07;MAYAN
256;018006081;2019-01-07;2019-08-07;en;de;2029-01-07;webOS Auto
257;018006094;2019-01-02;2019-04-30;en;es;2029-01-02;PITANGA FRUIT TWIST
258;018006096;2019-01-02;2019-04-30;en;es;2029-01-02;CHAI ZING
259;018006097;2019-01-02;2019-04-17;en;fr;2029-01-02;TIMOTEI BIO
260;018006099;2019-01-02;2019-05-22;en;de;2029-01-02;RITZ LONDON CIGARS
261;018006100;2019-01-02;2019-05-22;en;fr;2029-01-02;GRIPPACK
262;018006104;2019-01-02;2019-05-03;en;de;2029-01-02;Deutsches Klavierbau Institut - DKI
